case_id,query_type,difficulty_level,retrieval_paradigm,target_regime,essential_chunk_count,supporting_chunk_count,first_relevant_rank,mrr,hit_rate@5,hit_rate@10,hit_rate@20,essential_recall@5,essential_recall@10,essential_recall@20,essential_precision@5,essential_precision@10,full_precision@5,full_precision@10,full_precision@20,ndcg@5,ndcg@10,ndcg@20
GOLD-PERS-002,Persona-Specific Applicability,Easy,simple_semantic,1962,2,23,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.6,0.5,0.5,0.6086,0.5632,0.5487
GOLD-PERS-003,Persona-Specific Applicability,Medium,multi_hop,1962,2,23,1,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.2,0.2,0.6,0.6,0.55,0.647,0.7291,0.6718
GOLD-PERS-004,Persona-Specific Applicability,Medium,multi_hop,1962,2,3,1,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.2,0.2,0.8,0.5,0.25,0.6157,0.7767,0.7767
GOLD-PERS-006,Persona-Specific Applicability,Hard,multi_hop,1962,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.2,0.1,0.05,1.0,1.0,1.0
GOLD-PERS-007,Persona-Specific Applicability,Easy,simple_semantic,1962,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.2,0.1,0.05,1.0,1.0,1.0
GOLD-PERS-010,Persona-Specific Applicability,Easy,simple_semantic,1962,2,3,1,0.25,1.0,1.0,1.0,0.5,1.0,1.0,0.2,0.2,0.8,0.5,0.25,0.5512,0.7122,0.7122
GOLD-PERS-011,Persona-Specific Applicability,Easy,simple_semantic,2026,2,19,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9614,0.9247
GOLD-PERS-012,Persona-Specific Applicability,Hard,multi_hop,1962,2,23,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9596,0.9224
GOLD-PERS-013,Persona-Specific Applicability,Easy,simple_semantic,2026,2,19,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9614,0.9247
GOLD-PERS-014,Persona-Specific Applicability,Medium,simple_semantic,1962,2,23,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9596,0.9224
GOLD-PERS-015,Persona-Specific Applicability,Hard,multi_hop,2026,2,19,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9614,0.9247
GOLD-PERS-016,Persona-Specific Applicability,Medium,simple_semantic,1962,2,23,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9596,0.9224
GOLD-PERS-017,Persona-Specific Applicability,Easy,simple_semantic,2026,2,19,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9614,0.9247
GOLD-PERS-018,Persona-Specific Applicability,Hard,multi_hop,1962,2,23,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9596,0.9224
GOLD-PERS-019,Persona-Specific Applicability,Easy,simple_semantic,2026,2,19,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9614,0.9247
GOLD-PERS-020,Persona-Specific Applicability,Medium,simple_semantic,1962,2,23,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9596,0.9224
GOLD-PERS-021,Persona-Specific Applicability,Hard,multi_hop,2026,2,19,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9614,0.9247
GOLD-PERS-022,Persona-Specific Applicability,Medium,simple_semantic,1962,2,23,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9596,0.9224
GOLD-PERS-023,Persona-Specific Applicability,Easy,simple_semantic,2026,2,19,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9614,0.9247
