case_id,query_type,difficulty_level,retrieval_paradigm,target_regime,essential_chunk_count,supporting_chunk_count,first_relevant_rank,mrr,hit_rate@5,hit_rate@10,hit_rate@20,essential_recall@5,essential_recall@10,essential_recall@20,essential_precision@5,essential_precision@10,full_precision@5,full_precision@10,full_precision@20,ndcg@5,ndcg@10,ndcg@20
GOLD-PERS-001,Persona-Specific Applicability,Easy,simple_semantic,1962,1,0,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.2,0.1,0.05,0.6309,0.6309,0.6309
GOLD-PERS-005,Persona-Specific Applicability,Easy,simple_semantic,1962,2,5,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.8,0.7,0.35,0.7696,0.824,0.824
GOLD-PERS-008,Persona-Specific Applicability,Medium,multi_hop,1962,2,23,1,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.2,0.1,1.0,0.7,0.75,0.7968,0.7114,0.7855
GOLD-PERS-009,Persona-Specific Applicability,Hard,multi_hop,2026,2,11,1,0.1,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.1,0.6,0.6,0.6,0.3038,0.4389,0.6345
GOLD-PERS-024,Persona-Specific Applicability,Hard,multi_hop,1962,2,23,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9596,0.9224
GOLD-PERS-028,Persona-Specific Applicability,Medium,simple_semantic,1962,2,23,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9596,0.9224
GOLD-PERS-030,Persona-Specific Applicability,Hard,multi_hop,1962,2,23,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9596,0.9224
GOLD-PERS-032,Persona-Specific Applicability,Medium,simple_semantic,1962,2,23,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9596,0.9224
GOLD-TEMP-004,Intra-Document Temporal Validation,Easy,simple_semantic,1962,1,0,4,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.2,0.1,0.05,0.4307,0.4307,0.4307
GOLD-TEMP-005,Intra-Document Temporal Validation,Hard,hybrid_temporal,both,2,44,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,1.0,0.8167,0.8541,0.8895
GOLD-TEMP-007,Intra-Document Temporal Validation,Easy,multi_hop,2026,2,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.9355,0.9487,0.9487
GOLD-TEMP-009,Intra-Document Temporal Validation,Hard,hybrid_temporal,2026,2,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.9355,0.9487,0.9482
GOLD-TEMP-011,Intra-Document Temporal Validation,Easy,multi_hop,2026,2,11,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.8167,0.8541,0.863
GOLD-TEMP-025,Intra-Document Temporal Validation,Easy,multi_hop,2026,2,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.9355,0.9487,0.9487
GOLD-TEMP-028,Intra-Document Temporal Validation,Medium,multi_hop,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-031,Intra-Document Temporal Validation,Easy,multi_hop,2026,2,11,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.8167,0.8541,0.863
GOLD-PROC-004,Procedural / Condition Matching,Hard,multi_hop,1962,2,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.8,0.7,0.35,0.8198,0.8814,0.8814
GOLD-PROC-009,Procedural / Condition Matching,Hard,multi_hop,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
GOLD-PROC-012,Procedural / Condition Matching,Hard,multi_hop,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-013,Procedural / Condition Matching,Easy,simple_semantic,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
GOLD-PROC-015,Procedural / Condition Matching,Hard,multi_hop,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
GOLD-PROC-021,Procedural / Condition Matching,Hard,multi_hop,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
GOLD-PROC-028,Procedural / Condition Matching,Medium,simple_semantic,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-032,Procedural / Condition Matching,Medium,simple_semantic,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
